"","Amaretto Sour.txt","Aperol Spritz.txt","Boulevardier.txt","Classic Old Fashioned.txt","Cosmopolitan.txt","Daiquiri.txt","French75.txt","GinandTonic.txt","GinFizz.txt","Mai Tai.txt","Manhattan.txt","Margarita.txt","Mojito.txt","MoscowMule.txt","NewYorkSour.txt","Paloma.txt","Pinacolada.txt","TomCollins.txt","Whiskey sour.txt","Whisky Smash.txt"
"Amaretto Sour.txt",0,0,0.267,0,0.203,0.223,0.207,0,0.313,0,0.307,0.24,0.201,0,0.631,0,0,0.229,0.6,0.286
"Aperol Spritz.txt",0,0,0.294,0.201,0,0,0.206,0,0,0,0.236,0,0,0,0,0,0,0,0,0
"Boulevardier.txt",0.267,0.294,0,0.394,0.236,0,0.281,0.223,0.241,0,0.622,0.376,0.233,0,0.318,0.265,0,0.293,0.336,0.417
"Classic Old Fashioned.txt",0,0.201,0.394,0,0.205,0,0,0,0,0,0.355,0.31,0.269,0,0.222,0.213,0,0.283,0.3,0.359
"Cosmopolitan.txt",0.203,0,0.236,0.205,0,0.253,0.294,0.21,0.202,0.286,0.206,0.253,0.337,0.249,0.268,0.266,0.212,0.25,0.309,0.251
"Daiquiri.txt",0.223,0,0,0,0.253,0,0.208,0,0.204,0.365,0,0.258,0.338,0,0.282,0,0.294,0,0.252,0.216
"French75.txt",0.207,0.206,0.281,0,0.294,0.208,0,0.31,0.387,0.204,0.223,0.237,0.242,0,0.236,0.215,0,0.322,0.21,0.308
"GinandTonic.txt",0,0,0.223,0,0.21,0,0.31,0,0.47,0,0,0,0,0,0,0.216,0,0.259,0,0.218
"GinFizz.txt",0.313,0,0.241,0,0.202,0.204,0.387,0.47,0,0,0,0.247,0.234,0,0.298,0.218,0,0.437,0.231,0.267
"Mai Tai.txt",0,0,0,0,0.286,0.365,0.204,0,0,0,0.203,0.231,0.265,0,0,0,0.378,0,0.205,0
"Manhattan.txt",0.307,0.236,0.622,0.355,0.206,0,0.223,0,0,0.203,0,0.283,0,0,0.336,0,0.202,0.211,0.35,0.323
"Margarita.txt",0.24,0,0.376,0.31,0.253,0.258,0.237,0,0.247,0.231,0.283,0,0.282,0,0.248,0.513,0,0.312,0.222,0.31
"Mojito.txt",0.201,0,0.233,0.269,0.337,0.338,0.242,0,0.234,0.265,0,0.282,0,0,0.236,0.245,0.219,0.308,0.281,0.394
"MoscowMule.txt",0,0,0,0,0.249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NewYorkSour.txt",0.631,0,0.318,0.222,0.268,0.282,0.236,0,0.298,0,0.336,0.248,0.236,0,0,0,0,0.266,0.703,0.371
"Paloma.txt",0,0,0.265,0.213,0.266,0,0.215,0.216,0.218,0,0,0.513,0.245,0,0,0,0,0.287,0,0.264
"Pinacolada.txt",0,0,0,0,0.212,0.294,0,0,0,0.378,0.202,0,0.219,0,0,0,0,0,0,0
"TomCollins.txt",0.229,0,0.293,0.283,0.25,0,0.322,0.259,0.437,0,0.211,0.312,0.308,0,0.266,0.287,0,0,0.25,0.344
"Whiskey sour.txt",0.6,0,0.336,0.3,0.309,0.252,0.21,0,0.231,0.205,0.35,0.222,0.281,0,0.703,0,0,0.25,0,0.487
"Whisky Smash.txt",0.286,0,0.417,0.359,0.251,0.216,0.308,0.218,0.267,0,0.323,0.31,0.394,0,0.371,0.264,0,0.344,0.487,0
