"","Amaretto Sour.txt","Aperol Spritz.txt","Boulevardier.txt","Classic Old Fashioned.txt","Cosmopolitan.txt","Daiquiri.txt","French75.txt","GinandTonic.txt","GinFizz.txt","Mai Tai.txt","Manhattan.txt","Margarita.txt","Mojito.txt","MoscowMule.txt","NewYorkSour.txt","Paloma.txt","Pinacolada.txt","TomCollins.txt","Whiskey sour.txt","Whisky Smash.txt"
"achiev",1.91578527910524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"actual",1.91578527910524,1.98064591330728,1.70724052721218,0,0,0,0,0,3.5440810408782,1.67635004019285,0,1.99100870034283,0,0,1.98064591330728,0,1.91578527910524,0,2.10100959555716,0
"add",13.4104969537367,0,3.41448105442437,16.8782244135508,3.6035334014086,6.42767579541009,3.5778371164529,14.2349782033314,10.6322431226346,3.35270008038569,5.4053001021129,5.97302610102849,7.29421621955683,3.5778371164529,7.92258365322913,7.68251161432412,7.66314111642096,4.14470867959356,2.10100959555716,15.5723648606703
"almond",9.57892639552621,0,0,0,0,0,0,0,0,5.02905012057854,0,0,0,0,0,0,1.91578527910524,0,0,0
"also",3.83157055821048,0,3.41448105442437,1.68782244135508,1.8017667007043,2.14255859847003,1.78891855822645,0,3.5440810408782,10.0581002411571,0,0,0,3.5778371164529,5.94193773992185,5.76188371074309,3.83157055821048,4.14470867959356,8.40403838222863,0
"amaretto",63.220914210473,0,0,0,0,0,0,0,0,0,1.8017667007043,0,0,0,0,0,0,0,2.10100959555716,0
"angostura",1.91578527910524,0,0,5.06346732406525,0,0,0,0,0,0,12.6123669049301,0,0,0,0,0,0,0,0,0
"anytim",1.91578527910524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"artifici",1.91578527910524,0,0,1.68782244135508,0,0,0,0,0,0,0,0,0,3.5778371164529,0,0,0,0,0,0
"balanc",7.66314111642096,3.96129182661456,3.41448105442437,1.68782244135508,1.8017667007043,6.42767579541009,0,0,1.7720405204391,0,1.8017667007043,3.98201740068566,1.82355405488921,0,1.98064591330728,1.92062790358103,0,0,4.20201919111431,0
"bartend",1.91578527910524,1.98064591330728,1.70724052721218,3.37564488271017,1.8017667007043,2.14255859847003,1.78891855822645,2.03356831476162,1.7720405204391,1.67635004019285,1.8017667007043,3.98201740068566,3.64710810977842,1.78891855822645,5.94193773992185,1.92062790358103,5.74735583731572,2.07235433979678,2.10100959555716,2.22462355152433
"basic",3.83157055821048,0,3.41448105442437,0,0,0,0,0,0,0,0,0,0,0,0,1.92062790358103,0,0,0,0
"batch",1.91578527910524,0,0,3.37564488271017,0,0,1.78891855822645,0,0,0,1.8017667007043,1.99100870034283,0,0,0,1.92062790358103,0,0,2.10100959555716,0
"beauti",1.91578527910524,0,0,1.68782244135508,1.8017667007043,0,0,0,0,0,0,1.99100870034283,0,0,1.98064591330728,1.92062790358103,0,2.07235433979678,0,0
"begin",1.91578527910524,0,0,0,0,0,0,0,1.7720405204391,0,0,0,0,0,0,0,0,0,0,0
"behind",1.91578527910524,0,0,0,0,0,0,0,1.7720405204391,0,0,0,0,0,0,0,0,0,0,0
"best",5.74735583731572,3.96129182661456,0,3.37564488271017,0,4.28511719694006,0,6.10070494428487,7.0881620817564,5.02905012057854,1.8017667007043,17.9190783030855,3.64710810977842,7.15567423290581,3.96129182661456,0,5.74735583731572,0,2.10100959555716,0
"bitter",9.57892639552621,9.90322956653641,6.82896210884874,16.8782244135508,0,0,1.78891855822645,0,0,0,19.8194337077473,1.99100870034283,0,0,0,0,0,0,0,0
"boston",1.91578527910524,0,0,0,0,0,0,0,1.7720405204391,0,0,0,0,0,3.96129182661456,0,0,0,2.10100959555716,0
"bottl",1.91578527910524,1.98064591330728,5.12172158163655,0,1.8017667007043,2.14255859847003,0,0,1.7720405204391,5.02905012057854,1.8017667007043,1.99100870034283,0,3.5778371164529,0,0,3.83157055821048,0,0,0
